"transcript_id" "gene_id" "gene_name"
"1" "ENSDART00000000678.7" "ENSDARG00000000638" "opn1mw4"
"2" "ENSDART00000000877.7" "ENSDARG00000044279" "opn1mw3"
"3" "ENSDART00000001930.9" "ENSDARG00000001656" "psmb13a"
"4" "ENSDART00000002217.6" "ENSDARG00000013134" "unknown.1"
"5" "ENSDART00000002856.7" "ENSDARG00000014858" "drd2l_t1"
"6" "ENSDART00000003495.6" "ENSDARG00000113944" "unknown.2"
"7" "ENSDART00000003621.9" "ENSDARG00000017163" "sinup_t1"
"8" "ENSDART00000003895.9" "ENSDARG00000016994" "SSRP1_t1"
"9" "ENSDART00000003997.7" "ENSDARG00000007842" "MCHR2_g1t1"
"10" "ENSDART00000004240.8" "ENSDARG00000070713" "prss60.1_g1t1"
"11" "ENSDART00000004483.8" "ENSDARG00000003968" "larp6b_t1"
"12" "ENSDART00000004678.10" "ENSDARG00000090564" "PDZD4_g1t1"
"13" "ENSDART00000005033.10" "ENSDARG00000008811" "cmtm3_g1t1"
"14" "ENSDART00000005548.6" "ENSDARG00000011818" "batf_t1"
"15" "ENSDART00000006018.8" "ENSDARG00000017078" "mespaa_g1t1"
"16" "ENSDART00000006078.10" "ENSDARG00000054451" "loxl1_t1"
"17" "ENSDART00000006212.7" "ENSDARG00000004328" "LIN28A_t1"
"18" "ENSDART00000006505.9" "ENSDARG00000015906" "mxtx2"
"19" "ENSDART00000006514.7" "ENSDARG00000006816" "gtf2f2b"
"20" "ENSDART00000006961.8" "ENSDARG00000017386" "sobpb_t1"
"21" "ENSDART00000007253.7" "ENSDARG00000007171" "AIG1_t1"
"22" "ENSDART00000007310.10" "ENSDARG00000014657" "casp23_g1t1"
"23" "ENSDART00000007567.8" "ENSDARG00000022938" "taar11"
"24" "ENSDART00000007769.7" "ENSDARG00000017994" "tssk6"
"25" "ENSDART00000008332.5" "ENSDARG00000010376" "slc5a3a"
"26" "ENSDART00000008374.8" "ENSDARG00000009031" "unknown.3"
"27" "ENSDART00000008682.10" "ENSDARG00000017834" "micall2b_t1"
"28" "ENSDART00000009127.7" "ENSDARG00000020483" "lta"
"29" "ENSDART00000009590.10" "ENSDARG00000007067" "unknown.4"
"30" "ENSDART00000009591.7" "ENSDARG00000010701" "crygs4_g1t1"
"31" "ENSDART00000010169.8" "ENSDARG00000110837" "pimr110"
"32" "ENSDART00000010236.7" "ENSDARG00000017193" "cnn1a"
"33" "ENSDART00000010507.7" "ENSDARG00000011434" "ptger2a_t1"
"34" "ENSDART00000010934.10" "ENSDARG00000013649" "casr"
"35" "ENSDART00000011704.8" "ENSDARG00000113280" "unknown.5"
"36" "ENSDART00000012247.10" "ENSDARG00000013236" "dhcr24_t1"
"37" "ENSDART00000013001.8" "ENSDARG00000056443" "zgc:152753"
"38" "ENSDART00000013431.6" "ENSDARG00000008840" "hmbsa_t1"
"39" "ENSDART00000013437.7" "ENSDARG00000044343" "or70a17"
"40" "ENSDART00000013607.9" "ENSDARG00000020201" "cdc73_t1"
"41" "ENSDART00000014270.5" "ENSDARG00000094080" "or30bt1"
"42" "ENSDART00000014897.12" "ENSDARG00000045789" "srgap1b_t1"
"43" "ENSDART00000015232.10" "ENSDARG00000040433" "cyp2k22_t1"
"44" "ENSDART00000015761.10" "ENSDARG00000020079" "neil3_t1"
"45" "ENSDART00000015923.7" "ENSDARG00000005814" "KLHL10_g1t1"
"46" "ENSDART00000015928.10" "ENSDARG00000008119" "e2f6_t1"
"47" "ENSDART00000015951.9" "ENSDARG00000019881" "bsg_t1"
"48" "ENSDART00000016102.8" "ENSDARG00000010729" "unknown.6"
"49" "ENSDART00000016307.6" "ENSDARG00000014722" "her1"
"50" "ENSDART00000016465.8" "ENSDARG00000017927" "gjd6"
"51" "ENSDART00000016834.9" "ENSDARG00000015734" "aicda"
"52" "ENSDART00000017053.8" "ENSDARG00000011777" "CTTN_t1"
"53" "ENSDART00000017292.10" "ENSDARG00000006383" "stxbp5l_g1t1"
"54" "ENSDART00000017810.4" "ENSDARG00000004598" "or30bw1"
"55" "ENSDART00000017881.10" "ENSDARG00000014565" "eif4e1b_t1"
"56" "ENSDART00000018064.9" "ENSDARG00000039243" "ifi27.2_t1"
"57" "ENSDART00000019008.9" "ENSDARG00000008473" "ASB14_g1t1"
"58" "ENSDART00000019196.7" "ENSDARG00000019920" "lft1"
"59" "ENSDART00000019296.9" "ENSDARG00000003229" "gdf9"
"60" "ENSDART00000019440.9" "ENSDARG00000013016" "pole4_t1"
"61" "ENSDART00000019561.5" "ENSDARG00000004864" "foxr1"
"62" "ENSDART00000020301.8" "ENSDARG00000004436" "cibar1_t1"
"63" "ENSDART00000020376.8" "ENSDARG00000027469" "hsd17b1"
"64" "ENSDART00000023211.7" "ENSDARG00000017141" "PLA2G4A_t1"
"65" "ENSDART00000023545.10" "ENSDARG00000069085" "ints2_g1t1"
"66" "ENSDART00000023809.9" "ENSDARG00000009471" "unknown.7"
"67" "ENSDART00000024318.9" "ENSDARG00000091126" "unknown.8"
"68" "ENSDART00000024518.9" "ENSDARG00000004111" "esr1_g1t1"
"69" "ENSDART00000024644.9" "ENSDARG00000010732" "xrcc4_t1"
"70" "ENSDART00000024795.8" "ENSDARG00000002959" "gpr34b"
"71" "ENSDART00000024900.10" "ENSDARG00000078183" "unknown.9"
"72" "ENSDART00000025019.7" "ENSDARG00000013266" "colec11_t1"
"73" "ENSDART00000025186.8" "ENSDARG00000115940" "GALNT8_g1t1"
"74" "ENSDART00000025368.8" "ENSDARG00000116167" "ppil2_g1t1"
"75" "ENSDART00000025731.7" "ENSDARG00000012435" "spic"
"76" "ENSDART00000025847.9" "ENSDARG00000009511" "tnfa"
"77" "ENSDART00000027028.10" "ENSDARG00000078289" "unknown.10"
"78" "ENSDART00000027959.10" "ENSDARG00000015460" "racgap1_t1"
"79" "ENSDART00000028134.11" "ENSDARG00000008095" "unknown.11"
"80" "ENSDART00000028529.7" "ENSDARG00000030394" "prf1.1"
"81" "ENSDART00000028820.7" "ENSDARG00000025576" "mkln1_t1"
"82" "ENSDART00000028954.7" "ENSDARG00000024818" "rilpl2_g1t1"
"83" "ENSDART00000029122.7" "ENSDARG00000027639" "zgc:165539_t1"
"84" "ENSDART00000029175.8" "ENSDARG00000015356" "unknown.12"
"85" "ENSDART00000029528.8" "ENSDARG00000026024" "mospd2_t1"
"86" "ENSDART00000030368.5" "ENSDARG00000026864" "unknown.13"
"87" "ENSDART00000030565.7" "ENSDARG00000054254" "unknown.14"
"88" "ENSDART00000030709.6" "ENSDARG00000025899" "pnx"
"89" "ENSDART00000031141.7" "ENSDARG00000024687" "polr3g_t1"
"90" "ENSDART00000031356.7" "ENSDARG00000025150" "unknown.15"
"91" "ENSDART00000031885.8" "ENSDARG00000111097" "unknown.16"
"92" "ENSDART00000032050.8" "ENSDARG00000031616" "g6pc1a.1_t1"
"93" "ENSDART00000032326.7" "ENSDARG00000026086" "cfap20dc_g1t1"
"94" "ENSDART00000032407.4" "ENSDARG00000024522" "prf1.6_g1t1"
"95" "ENSDART00000032410.6" "ENSDARG00000021497" "unknown.17"
"96" "ENSDART00000033078.8" "ENSDARG00000115793" "pds5a_g1t1"
"97" "ENSDART00000033386.7" "ENSDARG00000022139" "ocstamp_g1t1"
"98" "ENSDART00000034414.8" "ENSDARG00000077085" "zgc:110821_t1"
"99" "ENSDART00000034545.6" "ENSDARG00000043173" "cela1.3"
