"transcript_id"	"gene_id"	"gene_name"	"TF"
"ENSDART00000135999.2"	"ENSDARG00000092550"	"unknown.4894"	FALSE
"ENSDART00000173686.2"	"ENSDARG00000033683"	"tpma_t3"	FALSE
"ENSDART00000009859.9"	"ENSDARG00000013653"	"adgrl4_t2"	FALSE
"ENSDART00000016053.8"	"ENSDARG00000020600"	"rnf144aa"	FALSE
"ENSDART00000031139.9"	"ENSDARG00000067509"	"SLC24A4_t2"	FALSE
"ENSDART00000031998.8"	"ENSDARG00000056643"	"slc22a7b.1_g1t2"	FALSE
"ENSDART00000045909.8"	"ENSDARG00000037598"	"prf1.5_g2t1"	FALSE
"ENSDART00000049197.7"	"ENSDARG00000046091"	"unknown.6375"	FALSE
"ENSDART00000051972.7"	"ENSDARG00000089362"	"grna.1"	FALSE
"ENSDART00000059014.7"	"ENSDARG00000034403"	"zgc:173443"	FALSE
"ENSDART00000062749.6"	"ENSDARG00000042753"	"unknown.6396"	FALSE
"ENSDART00000065139.5"	"ENSDARG00000044457"	"gfi1ab_g2t1"	TRUE
"ENSDART00000074117.6"	"ENSDARG00000005154"	"aspa_t2"	FALSE
"ENSDART00000074285.6"	"ENSDARG00000052429"	"syngr2a"	FALSE
"ENSDART00000075515.6"	"ENSDARG00000027734"	"srsf5b_t1"	FALSE
"ENSDART00000075567.6"	"ENSDARG00000053526"	"enpp7.1_g3t1"	FALSE
"ENSDART00000078049.4"	"ENSDARG00000055656"	"nherf4b_t2"	FALSE
"ENSDART00000078300.6"	"ENSDARG00000055893"	"nmnat1-rbp7a"	FALSE
"ENSDART00000079158.4"	"ENSDARG00000056628"	"tmem170a_g1t1"	FALSE
"ENSDART00000079253.4"	"ENSDARG00000056713"	"pskh1_g2t1"	FALSE
"ENSDART00000080709.6"	"ENSDARG00000068763"	"plcg2_t2"	FALSE
"ENSDART00000081026.5"	"ENSDARG00000058218"	"fam151a"	FALSE
"ENSDART00000082368.5"	"ENSDARG00000059294"	"unknown.6425"	FALSE
"ENSDART00000083947.6"	"ENSDARG00000059956"	"ptk6b"	FALSE
"ENSDART00000087421.6"	"ENSDARG00000061351"	"tfpi2"	FALSE
"ENSDART00000088618.2"	"ENSDARG00000061818"	"meox2b_g2t1"	TRUE
"ENSDART00000091700.5"	"ENSDARG00000063009"	"catip_t2"	FALSE
"ENSDART00000092190.6"	"ENSDARG00000063223"	"arl14"	FALSE
"ENSDART00000097312.5"	"ENSDARG00000067593"	"sco1_g1t1"	FALSE
"ENSDART00000097625.4"	"ENSDARG00000067777"	"hspb11"	FALSE
"ENSDART00000097626.3"	"ENSDARG00000067781"	"urp2"	FALSE
"ENSDART00000097755.6"	"ENSDARG00000067850"	"jund"	TRUE
"ENSDART00000100100.5"	"ENSDARG00000069027"	"ADM"	FALSE
"ENSDART00000101636.4"	"ENSDARG00000095739"	"unknown.6452"	FALSE
"ENSDART00000101658.6"	"ENSDARG00000076280"	"ppp1r1b_t1"	FALSE
"ENSDART00000102086.5"	"ENSDARG00000069888"	"cldna"	FALSE
"ENSDART00000102868.4"	"ENSDARG00000070213"	"etnk2_g2t1"	FALSE
"ENSDART00000103622.5"	"ENSDARG00000045661"	"irf7_t2"	TRUE
"ENSDART00000108729.4"	"ENSDARG00000074033"	"ADAMTSL2_t2"	FALSE
"ENSDART00000109833.4"	"ENSDARG00000080021"	"ZMAT3_t2"	TRUE
"ENSDART00000110671.4"	"ENSDARG00000079584"	"zgc:194930"	FALSE
"ENSDART00000110947.4"	"ENSDARG00000093574"	"unknown.6487"	FALSE
"ENSDART00000111368.3"	"ENSDARG00000077385"	"rgs19"	FALSE
"ENSDART00000111512.4"	"ENSDARG00000074846"	"unknown.6493"	FALSE
"ENSDART00000111749.4"	"ENSDARG00000061017"	"spns2_g1t2"	FALSE
"ENSDART00000113412.4"	"ENSDARG00000052511"	"lin28b"	TRUE
